Caso 0,,Caso 1,,Caso 2,,,Caso 3,,,Caso 4,
io,,cpu,,cpu,io,,Io 1,Io 2,,Cpu 1,Cpu 2
7552,,73753,,73753,30,,10048,10304,,36238,36238
7424,,74490,,73753,33,,10240,10624,,36238,36238
7360,,73753,,73753,33,,10432,11244,,36238,36238
7552,,74490,,73753,33,,10792,12480,,36238,36238
7296,,73753,,73753,33,,11456,5248,,36238,36238
7104,,74490,,73753,33,,4736,5530,,36238,36238
7168,,74490,,73753,33,,5169,5600,,36238,36238
7424,,73753,,73753,33,,5333,5615,,36238,36238
7616,,74490,,73753,33,,5956,5696,,36780,36238
7552,,74490,,73753,33,,6156,6400,,36780,36238
7680,,73753,,73753,33,,6515,6701,,36780,36780
7488,,74490,,73753,33,,6528,6713,,36780,36780
7232,,74490,,73753,33,,6592,7033,,36780,36780
7296,,73753,,73753,33,,6592,7160,,36780,36780
7296,,74490,,73753,33,,7168,7253,,37502,36780
7232,,74490,,73753,33,,7232,7261,,37502,36780
7360,,73753,,73753,33,,7297,7296,,37502,37502
7680,,74490,,73753,"32,8235294117647",,7341,7360,,37502,37502
7360,,74490,,73753,,,7360,7619,,37502,37502
7488,,73753,,73753,,,7424,7619,,37502,37502
7296,,74490,,73753,,,7616,7872,,37502,37502
7680,,74490,,73753,,,7744,8014,,37502,37502
7488,,73753,,73753,,,7872,8174,,37502,37502
7232,,74490,,73753,,,8192,8256,,p,37502
7232,,74490,,73753,,,8192,8491,,36874,"36794,8333333333"
7424,,73753,,73753,,,8640,8576,,,
7552,,74490,,73753,,,9061,8792,,,
7360,,74490,,73753,,,9124,8832,,,
7296,,73753,,73753,,,9280,8960,,,
7104,,74490,,73753,,,9280,9152,,,
7360,,74490,,73753,,,9292,9188,,,
7104,,73753,,73753,,,9378,9344,,,
7168,,"74213,625",,73753,,,9728,9536,,,
7424,,,,p,,,9856,9538,,,
7552,,,,73753,,,"8047,70588235294","8043,55882352941",,,
7360,,,,,,,,,,,
7168,,,,,,,,,,,
"7377,2972972973",,,,,,,,,,,
